wiki_id,label,score
23890098,POSITIVE,0.9164180755615234
31186339,NEGATIVE,0.9018054604530334
20663735,NEGATIVE,0.9953752160072327
2231378,NEGATIVE,0.993630588054657
595909,NEGATIVE,0.996964156627655
5272176,NEGATIVE,0.9936885237693787
1952976,NEGATIVE,0.9974765181541443
24225279,NEGATIVE,0.9921808242797852
2462689,NEGATIVE,0.9910596013069153
20532852,NEGATIVE,0.998985230922699
15401493,POSITIVE,0.9566022753715515
18188932,NEGATIVE,0.8427300453186035
2940516,POSITIVE,0.9893394112586975
1335380,NEGATIVE,0.8976160287857056
1480747,NEGATIVE,0.9700224995613098
24448645,NEGATIVE,0.7831994891166687
15072401,NEGATIVE,0.9862807989120483
4018288,POSITIVE,0.9363870024681091
4596602,POSITIVE,0.5417154431343079
15224586,POSITIVE,0.9934740662574768
15585766,POSITIVE,0.9957312941551208
1760737,NEGATIVE,0.9919812679290771
29062594,POSITIVE,0.996884286403656
29326153,POSITIVE,0.9955754280090332
9252321,NEGATIVE,0.9965857267379761
8388648,NEGATIVE,0.987433135509491
10644072,POSITIVE,0.9921533465385437
13455076,POSITIVE,0.9886808395385742
33269085,NEGATIVE,0.9748762249946594
2254491,POSITIVE,0.9953752160072327
447194,NEGATIVE,0.9559438228607178
24165951,POSITIVE,0.9645852446556091
18549958,NEGATIVE,0.8841823935508728
12978934,NEGATIVE,0.7418128252029419
8471210,NEGATIVE,0.9976886510848999
1925869,POSITIVE,0.9915624260902405
10799612,POSITIVE,0.5534037947654724
3150865,POSITIVE,0.793120265007019
20591333,POSITIVE,0.9990837574005127
28238240,NEGATIVE,0.8827243447303772
5414895,POSITIVE,0.7945690751075745
17124781,NEGATIVE,0.9908236265182495
5425205,NEGATIVE,0.6716675758361816
28207941,NEGATIVE,0.9981352090835571
14330027,POSITIVE,0.9957440495491028
4356664,NEGATIVE,0.977908194065094
19174305,NEGATIVE,0.8753947019577026
33417831,NEGATIVE,0.9993854761123657
2408359,NEGATIVE,0.991519033908844
1838882,NEGATIVE,0.9831331372261047
25755313,NEGATIVE,0.9916419982910156
10016997,NEGATIVE,0.9466081857681274
8153846,POSITIVE,0.9748665690422058
24486071,NEGATIVE,0.9482097625732422
4466226,NEGATIVE,0.9257532954216003
27975390,NEGATIVE,0.9972376823425293
6167400,POSITIVE,0.7460910677909851
17711304,NEGATIVE,0.9774414896965027
18392317,POSITIVE,0.9491713047027588
